==Frequent itemsets (min_sup=1.0%)==
('13893', '22277')	 supp: 1.99%
('13893', 'male')	 supp: 1.99%
('13893', '2003')	 supp: 1.99%
('22277', 'male')	 supp: 1.99%
('2003', '22277')	 supp: 1.99%
('13893', '2003', '22277')	 supp: 1.99%
('13893', '2003', 'male')	 supp: 1.99%
('2003', '22277', 'male')	 supp: 1.99%
('13893', '22277', 'male')	 supp: 1.99%
('13893', '2003', '22277', 'male')	 supp: 1.99%
('21002', 'male')	 supp: 1.98%
('2003', '21002')	 supp: 1.98%
('13516', '21002')	 supp: 1.98%
('13516', 'male')	 supp: 1.98%
('13516', '2003')	 supp: 1.98%
('2003', '21002', 'male')	 supp: 1.98%
('13516', '2003', '21002')	 supp: 1.98%
('13516', '2003', 'male')	 supp: 1.98%
('13516', '21002', 'male')	 supp: 1.98%
('13516', '2003', '21002', 'male')	 supp: 1.98%
('17048', 'male')	 supp: 1.93%
('17048', '2003')	 supp: 1.93%
('12064', '17048')	 supp: 1.93%
('12064', 'male')	 supp: 1.93%
('12064', '2003')	 supp: 1.93%
('12064', '2003', 'male')	 supp: 1.93%
('17048', '2003', 'male')	 supp: 1.93%
('12064', '17048', '2003')	 supp: 1.93%
('12064', '17048', 'male')	 supp: 1.93%
('12064', '17048', '2003', 'male')	 supp: 1.93%
('21014', 'male')	 supp: 1.73%
('12706', '21014')	 supp: 1.73%
('12706', '2002')	 supp: 1.73%
('12706', 'male')	 supp: 1.73%
('2002', '21014')	 supp: 1.73%
('12706', '21014', 'male')	 supp: 1.73%
('2002', '21014', 'male')	 supp: 1.73%
('12706', '2002', '21014')	 supp: 1.73%
('12706', '2002', 'male')	 supp: 1.73%
('12706', '2002', '21014', 'male')	 supp: 1.73%
('19795', '2002')	 supp: 1.72%
('19795', 'male')	 supp: 1.72%
('12425', '2002')	 supp: 1.72%
('12425', '19795')	 supp: 1.72%
('12425', 'male')	 supp: 1.72%
('12425', '2002', 'male')	 supp: 1.72%
('12425', '19795', '2002')	 supp: 1.72%
('12425', '19795', 'male')	 supp: 1.72%
('19795', '2002', 'male')	 supp: 1.72%
('12425', '19795', '2002', 'male')	 supp: 1.72%
('15987', '2002')	 supp: 1.65%
('15987', 'male')	 supp: 1.65%
('11112', '2002')	 supp: 1.65%
('11112', '15987')	 supp: 1.65%
('11112', 'male')	 supp: 1.65%
('11112', '15987', '2002')	 supp: 1.65%
('11112', '15987', 'male')	 supp: 1.65%
('11112', '2002', 'male')	 supp: 1.65%
('15987', '2002', 'male')	 supp: 1.65%
('11112', '15987', '2002', 'male')	 supp: 1.65%
('19757', 'male')	 supp: 1.63%
('19757', '2001')	 supp: 1.63%
('10973', '19757')	 supp: 1.63%
('10973', 'male')	 supp: 1.63%
('10973', '2001')	 supp: 1.63%
('10973', '19757', '2001')	 supp: 1.63%
('10973', '19757', 'male')	 supp: 1.63%
('10973', '2001', 'male')	 supp: 1.63%
('19757', '2001', 'male')	 supp: 1.63%
('10973', '19757', '2001', 'male')	 supp: 1.63%
('10715', '18637')	 supp: 1.63%
('10715', 'male')	 supp: 1.63%
('10715', '2001')	 supp: 1.63%
('18637', 'male')	 supp: 1.63%
('18637', '2001')	 supp: 1.63%
('18637', '2001', 'male')	 supp: 1.63%
('10715', '2001', 'male')	 supp: 1.63%
('10715', '18637', '2001')	 supp: 1.63%
('10715', '18637', 'male')	 supp: 1.63%
('10715', '18637', '2001', 'male')	 supp: 1.63%
('15079', '9742')	 supp: 1.59%
('15079', 'male')	 supp: 1.59%
('15079', '2001')	 supp: 1.59%
('9742', 'male')	 supp: 1.59%
('2001', '9742')	 supp: 1.59%
('15079', '2001', '9742')	 supp: 1.59%
('15079', '2001', 'male')	 supp: 1.59%
('2001', '9742', 'male')	 supp: 1.59%
('15079', '9742', 'male')	 supp: 1.59%
('15079', '2001', '9742', 'male')	 supp: 1.59%



==High-confidence association rules (min_conf=50.0%)==
('2007', '24466', 'male') ===> ('20636',)	 conf: 100.0% 	 supp: 2.3%
('28080',) ===> ('female',)	 conf: 100.0% 	 supp: 2.72%
('2002', '20565') ===> ('13986',)	 conf: 100.0% 	 supp: 1.99%
('13365', 'female') ===> ('2001',)	 conf: 100.0% 	 supp: 2.03%
('23580', '27603') ===> ('female',)	 conf: 100.0% 	 supp: 2.75%
('19458', 'male') ===> ('22511',)	 conf: 100.0% 	 supp: 2.28%
('20565', 'female') ===> ('13986',)	 conf: 100.0% 	 supp: 1.99%
('18546',) ===> ('female',)	 conf: 100.0% 	 supp: 2.72%
('15079', '2001') ===> ('male',)	 conf: 100.0% 	 supp: 1.59%
('2006', '27409') ===> ('21614',)	 conf: 100.0% 	 supp: 2.76%
('17815', 'male') ===> ('25912',)	 conf: 100.0% 	 supp: 2.25%
('2005', '22122') ===> ('16299',)	 conf: 100.0% 	 supp: 2.21%
('19531',) ===> ('2006',)	 conf: 100.0% 	 supp: 2.28%
('2002', '20565', 'female') ===> ('13986',)	 conf: 100.0% 	 supp: 1.99%
('15685', '2004', 'male') ===> ('24299',)	 conf: 100.0% 	 supp: 2.25%
('15053', '2002') ===> ('24040',)	 conf: 100.0% 	 supp: 2.04%
('16970', '2004') ===> ('23485',)	 conf: 100.0% 	 supp: 2.67%
('13210',) ===> ('22680',)	 conf: 100.0% 	 supp: 2.03%
('2003', '21002') ===> ('13516',)	 conf: 100.0% 	 supp: 1.98%
('20942',) ===> ('2006',)	 conf: 100.0% 	 supp: 2.74%
('16590', '2003') ===> ('female',)	 conf: 100.0% 	 supp: 2.5%
('17048', '2003') ===> ('12064',)	 conf: 100.0% 	 supp: 1.93%
('24299', 'male') ===> ('15685',)	 conf: 100.0% 	 supp: 2.25%
('15053', 'female') ===> ('24040',)	 conf: 100.0% 	 supp: 2.04%
('17374',) ===> ('2005',)	 conf: 100.0% 	 supp: 2.25%
('18637', '2001', 'male') ===> ('10715',)	 conf: 100.0% 	 supp: 1.63%
('2001', '22680') ===> ('female',)	 conf: 100.0% 	 supp: 2.03%
('18281',) ===> ('2004',)	 conf: 100.0% 	 supp: 2.71%
('18537', '2006') ===> ('23597',)	 conf: 100.0% 	 supp: 2.26%
('22491', 'female') ===> ('29514',)	 conf: 100.0% 	 supp: 2.77%
('18828', '2004') ===> ('male',)	 conf: 100.0% 	 supp: 2.2%
('12455', '19424') ===> ('female',)	 conf: 100.0% 	 supp: 1.99%
('29514',) ===> ('female',)	 conf: 100.0% 	 supp: 2.77%
('13986',) ===> ('female',)	 conf: 100.0% 	 supp: 1.99%
('17815', '2005') ===> ('male',)	 conf: 100.0% 	 supp: 2.25%
('15987',) ===> ('2002',)	 conf: 100.0% 	 supp: 1.65%
('12425', '19795') ===> ('male',)	 conf: 100.0% 	 supp: 1.72%
('2007', '23580', 'female') ===> ('27603',)	 conf: 100.0% 	 supp: 2.75%
('15987', 'male') ===> ('11112',)	 conf: 100.0% 	 supp: 1.65%
('2004', '28080') ===> ('female',)	 conf: 100.0% 	 supp: 2.72%
('13893', 'male') ===> ('22277',)	 conf: 100.0% 	 supp: 1.99%
('26377', 'female') ===> ('2005',)	 conf: 100.0% 	 supp: 2.66%
('15258', '22915') ===> ('2004',)	 conf: 100.0% 	 supp: 2.25%
('16299', '2005', '22122') ===> ('male',)	 conf: 100.0% 	 supp: 2.21%
('20636', 'male') ===> ('24466',)	 conf: 100.0% 	 supp: 2.3%
('20942',) ===> ('female',)	 conf: 100.0% 	 supp: 2.74%
('13893',) ===> ('2003',)	 conf: 100.0% 	 supp: 1.99%
('20636', '24466', 'male') ===> ('2007',)	 conf: 100.0% 	 supp: 2.3%
('13210', '2001', '22680') ===> ('female',)	 conf: 100.0% 	 supp: 2.03%
('22277', 'male') ===> ('2003',)	 conf: 100.0% 	 supp: 1.99%
('18924', '2005', 'female') ===> ('25056',)	 conf: 100.0% 	 supp: 2.65%
('15565', 'male') ===> ('2005',)	 conf: 100.0% 	 supp: 2.18%
('13986', 'female') ===> ('2002',)	 conf: 100.0% 	 supp: 1.99%
('2004', '22915') ===> ('male',)	 conf: 100.0% 	 supp: 2.25%
('13893', '22277') ===> ('male',)	 conf: 100.0% 	 supp: 1.99%
('2005', '20497', 'female') ===> ('29365',)	 conf: 100.0% 	 supp: 2.69%
('25912',) ===> ('2005',)	 conf: 100.0% 	 supp: 2.25%
('15079',) ===> ('male',)	 conf: 100.0% 	 supp: 1.59%
('20237', '28405') ===> ('female',)	 conf: 100.0% 	 supp: 2.69%
('16970', '2004') ===> ('female',)	 conf: 100.0% 	 supp: 2.67%
